微博id,发布者,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IwEoqgXWW,禤樱箐,禤樱箐:北京新冠肺炎疫情防控工作领导小组第三十四次会议暨首都严格进京管理联防联控协调机制第五次会议召开 http://t.cn/A674FIqG  原图 ,无,无,2020-03-01 23:59,学习强国客户端,0,0,0
IwEoq1Vzq,nana2012的海角,nana2012的海角:坚守，为了每一位患者——石家庄市新冠肺炎医疗救治定点医院战“疫”记 http://t.cn/A67i5tyM  原图 ,无,无,2020-03-01 23:59,学习强国客户端,0,0,0
IwEonALU9,AM____,AM____:#英国新增12名新冠肺炎感染者# 保住自己瑟瑟发抖 这都最后几个月了 就不能让我安生的回到家吗  ,无,无,2020-03-01 23:59,明的iPhone X,6,0,0
IwEomrgnO,后羿梵语,后羿梵语:#新冠肺炎疫情源发地在哪# 武汉·江滩  显示地图 原图 ,无,#新冠肺炎疫情源发地在哪#,2020-03-01 23:59,HUAWEI Mate 20,0,0,0
IwEom96Mm,Snscar许微,Snscar许微:卡塔尔卫生部：卡塔尔新增两例新冠肺炎感染病例。  ,无,无,2020-03-01 23:59,iPad客户端,0,0,0
IwEolxScN,用户7318583340,用户7318583340:关于新冠肺炎康复者捐献恢复期血浆的倡议书 http://t.cn/A67JWYEe  原图 ,无,无,2020-03-01 23:59,学习强国客户端,0,0,0
IwEolxQym,yoyo-ren,yoyo-ren:yoyo-ren 打卡第769天，2020年3月1日，市最后一名确诊新冠肺炎患者治愈出院，实现确诊病例和疑似病例“双清零”，愿越来越明媚，越来越健康。运动只为更好的自己！#运动就是坚持#快来加入打卡社区吧！  [组图共4张] 原图 ,无,无,2020-03-01 23:59,微博运动,0,0,0
IwEokCkX9,皮肤健康管理者,皮肤健康管理者:除新冠肺炎外，3月还需重点预防这些疾病除新冠肺炎外，3月还需重点预防这些疾病  ,无,无,2020-03-01 23:59,iPhone客户端,0,0,0
IwEok43f5,卖家具的菠萝哥,卖家具的菠萝哥:关于新冠肺炎康复者捐献恢复期血浆的倡议书 关于新冠肺炎康复者捐献恢复期血浆的倡议书  原图 ,无,无,2020-03-01 23:59,iPhone客户端,0,0,0
IwEojaFEu,圣女幸福的日子2000,圣女幸福的日子2000:关于新冠肺炎康复者捐献恢复期血浆的倡议书 点击可查看更多 http://t.cn/A67JWYEe  原图 ,无,无,2020-03-01 23:59,学习强国客户端,0,0,0
IwEoh9oCR,Fantastic-0428,Fantastic-0428:#韩国累计确诊新冠肺炎3526例#担心再兴和我们d5😭要健健康康的啊  ,无,无,2020-03-01 23:59,前后2000万 OPPO R11,0,0,1
IwEogvbwK,搞笑壹锐,搞笑壹锐:韩国的口罩真是特立独行，这个造型让人无语，但是戴上的效果很好#美国出现首例新冠肺炎死亡病例##新冠肺炎病毒几乎人人易感##新冠肺炎全球风险级别调为非常高# 搞笑壹锐的微博视频  ,无,无,2020-03-01 23:59,微博云剪,0,0,0
IwEofCUjC,内蒙古反邪教,内蒙古反邪教:【疫情进入社区传播，#美多地居民排队抢购物资#】新冠肺炎疫情在美国本土进入社区传播阶段。截至29日，美国七个州累积确诊病例69例。卫生部长阿扎尔承认国内口罩不足后，各地出现抢购。#关注新冠肺炎# 在夏威夷、新墨西哥、得州等地，居民在超市外排起长队，囤积食物、水、常用药与清洁用品等物资。社交媒体上，空荡荡的货架照片不断流传，助推了“恐慌抢购”的氛围。#聚焦新冠肺炎疫情# 值得一提的是，美国疾控中心刚建议民众不需要囤货，夏威夷、明尼苏达等州卫生部门就发布了截然相反的建议。分析人士担忧，大型零售公司的供应链恐受到严重打击，4月份有分销网点可能断货。#美国疫情# @观察者网  http://t.cn/A67ihyCW [组图共2张] 原图 ,无,无,2020-03-01 23:59,HUAWEI P30,8,8,8
IwEofDgKf,烨椰-,烨椰-:#英国新增12名新冠肺炎感染者# 想回国....  ,无,无,2020-03-01 23:59,椰子味的iPhone X,0,0,7
IwEofEf4R,用户6603902166,用户6603902166:关于新冠肺炎的最新判断，一图读懂！ http://t.cn/A67xh58Y  原图 ,无,无,2020-03-01 23:59,学习强国客户端,0,0,0
IwEodxI1C,游仙公安,游仙公安:【消逝的星星，#致敬感染新冠牺牲的医护人员#】3月1日凌晨5点32分，武汉中心医院江学庆医生感染去世，享年55岁。其在抗击新冠肺炎疫情工作中不幸染病。截至目前，已有多名医务工作人员感染新冠肺炎牺牲。他们如夜空中消逝的星星，曾驱散黑暗，却牺牲了自己。请记住他们名字！  http://t.cn/A67iobI9 ,无,无,2020-03-01 23:59,红米Note7 4800万相机,1,0,3
IwEoc5ILg,髙崒wuXIXI,髙崒wuXIXI:ha ha ha  正在看首都晚间报道  特朗普站在台上刚说完美国已有一例女性因新冠死亡  接着  他说  没有理由恐慌  这让我想起电影《2012》中的一段话（对了对了 他还报错了死者性别🙂#美国出现首例新冠肺炎死亡病例##特朗普称疫情被媒体夸大#  [组图共3张] 原图 ,无,无,2020-03-01 23:59,无,1,1,0
